Syncmode 0, Channel 6:
10c ead04 ead00
10b ead00 eacfc
10a eacfc eacf8
109 eacf8 eacf4
108 eacf4 eacf0
107 eacf0 eacec
106 eacec eace8
105 eace8 eace4
104 eace4 eace0
103 eace0 eacdc
102 eacdc eacd8
101 eacd8 eacd4
100 eacd4 eacd0
ff eacd0 eaccc
fe eaccc eacc8
fd eacc8 eacc4
fc eacc4 eacc0
fb eacc0 eacbc
fa eacbc eacb8
f9 eacb8 eacb4
f8 eacb4 eacb0
f7 eacb0 eacac
f6 eacac eaca8
f5 eaca8 eaca4
f4 eaca4 eaca0
f3 eaca0 eac9c
f2 eac9c eac98
f1 eac98 eac94
f0 eac94 eac90
ef eac90 eac8c
ee eac8c eac88
ed eac88 eac84
ec eac84 eac80
eb eac80 eac7c
ea eac7c eac78
e9 eac78 eac74
e8 eac74 eac70
e7 eac70 eac6c
e6 eac6c eac68
e5 eac68 eac64
e4 eac64 eac60
e3 eac60 eac5c
e2 eac5c eac58
e1 eac58 eac54
e0 eac54 eac50
df eac50 eac4c
de eac4c eac48
dd eac48 eac44
dc eac44 eac40
db eac40 eac3c
da eac3c eac38
d9 eac38 eac34
d8 eac34 eac30
d7 eac30 eac2c
d6 eac2c eac28
d5 eac28 eac24
d4 eac24 eac20
d3 eac20 eac1c
d2 eac1c eac18
d1 eac18 eac14
d0 eac14 eac10
cf eac10 eac0c
ce eac0c eac08
cd eac08 eac04
cc eac04 eac00
cb eac00 eabfc
ca eabfc eabf8
c9 eabf8 eabf4
c8 eabf4 eabf0
c7 eabf0 eabec
c6 eabec eabe8
c5 eabe8 eabe4
c4 eabe4 eabe0
c3 eabe0 eabdc
c2 eabdc eabd8
c1 eabd8 eabd4
c0 eabd4 eabd0
bf eabd0 eabcc
be eabcc eabc8
bd eabc8 eabc4
bc eabc4 eabc0
bb eabc0 eabbc
ba eabbc eabb8
b9 eabb8 eabb4
b8 eabb4 eabb0
b7 eabb0 eabac
b6 eabac eaba8
b5 eaba8 eaba4
b4 eaba4 eaba0
b3 eaba0 eab9c
b2 eab9c eab98
b1 eab98 eab94
b0 eab94 eab90
af eab90 eab8c
ae eab8c eab88
ad eab88 eab84
ac eab84 eab80
ab eab80 eab7c
aa eab7c eab78
a9 eab78 eab74
a8 eab74 eab70
a7 eab70 eab6c
a6 eab6c eab68
a5 eab68 eab64
a4 eab64 eab60
a3 eab60 eab5c
a2 eab5c eab58
a1 eab58 eab54
a0 eab54 eab50
9f eab50 eab4c
